Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels
Introduction to Azure fundamentals,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-fundamentals/,8,"156,636","1,167,503",33.84%,"143,670","48,625","43,718",644,58779.50472,22.51570701,43,4.803945916,"7,248",,,azure,administrator;developer;solution-architect;student,beginner
Discuss Azure fundamental concepts,https://docs.microsoft.com/en-us/learn/modules/fundamental-azure-concepts/,6,"80,763","562,191",61.67%,"64,427","39,729","40,601",440,25524.87611,18.96279938,24,4.821777967,"4,702",,,azure;azure-functions,administrator;developer;solution-architect;student,beginner
Describe core Azure architectural components,https://docs.microsoft.com/en-us/learn/modules/azure-architecture-fundamentals/,8,"65,886","590,005",54.83%,"57,028","31,266","33,927",501,36450.48972,33.19414418,34,4.774517181,"3,987","28,122","22,532",azure;azure-resource-manager,administrator;developer;solution-architect;student,beginner
Explore Azure compute services,https://docs.microsoft.com/en-us/learn/modules/azure-compute-fundamentals/,9,"57,308","530,512",48.56%,"54,244","26,343","26,090",166,34121.53861,35.72437211,52,4.773782431,"2,197",,,azure;azure-app-service;azure-container-instances;azure-container-registry;azure-kubernetes-service;azure-virtual-machines,administrator;developer;solution-architect;student,beginner
Explore Azure Storage services,https://docs.microsoft.com/en-us/learn/modules/azure-storage-fundamentals/,8,"30,061","279,320",71.18%,"26,937","19,174","20,590",80,8782.993333,17.53034164,27,4.772142316,"1,321",,,azure;azure-blob-storage;azure-files;azure-storage;azure-storage-accounts;azure-storage-explorer,administrator;developer;solution-architect;student,beginner
Protect against security threats on Azure,https://docs.microsoft.com/en-us/learn/modules/protect-against-security-threats-azure/,8,"36,903","324,935",54.04%,"34,568","18,682","18,980",179,15278.73194,24.84144695,25,4.813987022,"1,387","12,142","10,481",azure,administrator;business-owner;business-user;student;technology-manager,beginner
Explore Azure database and analytics services,https://docs.microsoft.com/en-us/learn/modules/azure-database-fundamentals/,10,"35,170","363,731",61.67%,"30,224","18,638","20,283",154,15392.8625,26.26021467,43,4.770375162,"1,546","11,631","10,157",azure;azure-cosmos-db;azure-data-lake;azure-databricks;azure-hdinsight;azure-sql-database;azure-synapse-analytics,administrator;developer;solution-architect;student,beginner
Explore Azure networking services,https://docs.microsoft.com/en-us/learn/modules/azure-networking-fundamentals/,7,"35,004","287,495",57.06%,"32,014","18,266","19,886",76,20119.96056,34.48741953,38,4.612585292,"1,319",,,azure;azure-expressroute;azure-virtual-network;azure-vpn-gateway,administrator;developer;solution-architect;student,beginner
Choose the best Azure IoT service for your application,https://docs.microsoft.com/en-us/learn/modules/iot-fundamentals/,8,"28,359","245,308",63.54%,"27,496","17,470","17,127",71,9338.35,19.7574315,27,4.824593128,"1,106",,,azure;azure-iot-central;azure-iot-hub,administrator;business-owner;developer;student;technology-manager,beginner
Get started building with Power BI,https://docs.microsoft.com/en-us/learn/modules/get-started-with-power-bi/,6,"92,645","377,815",28.83%,"56,625","16,323","13,154",227,16515.79056,10.69617824,40,4.799747315,"1,583",,,power-platform;power-bi,business-user;business-analyst;functional-consultant,beginner
Build a cloud governance strategy on Azure,https://docs.microsoft.com/en-us/learn/modules/build-cloud-governance-strategy-azure/,12,"30,553","347,321",59.31%,"26,092","15,474","16,875",177,16513.08444,32.42840528,48,4.773957571,"1,367",,,azure;azure-blueprints;azure-policy;azure-rbac,administrator;business-owner;business-user;developer;student;technology-manager,beginner
