,LiveUrl,Uid,Title_x,Url,Certification,lp_url,Title_y,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels
0,https://docs.microsoft.com/en-us/learn/modules/top-5-security-items-to-consider/,learn.top-5-security-items-to-consider,Top 5 security items to consider before pushing to production ,/learn/modules/top-5-security-items-to-consider/,az-500,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-apps/,Top 5 security items to consider before pushing to production,7,"3,399","23,427",66.85%,"2,736","1,829","1,934",13.0,1080.004444,19.06450917,45,4.75,148.0,,,azure;azure-key-vault,developer;administrator;security-engineer,intermediate
1,https://docs.microsoft.com/en-us/learn/modules/secure-aspnet-core-identity/,learn.secure-aspnet-core-identity,Secure an ASP.NET Core web app with the Identity framework ,/learn/modules/secure-aspnet-core-identity/,az-500,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-apps/,Secure an ASP.NET Core web app with the Identity framework,8,"2,868","13,525",26.39%,"1,777",469,500,6.0,481.8419444,10.08037541,68,4.527777778,36.0,901,741,dotnet;aspnet-core;dotnet-core;ef-core;azure,developer;security-engineer,intermediate
2,https://docs.microsoft.com/en-us/learn/modules/manage-secrets-with-azure-key-vault/,learn.manage-secrets-with-azure-key-vault,Manage secrets in your server apps with Azure Key Vault ,/learn/modules/manage-secrets-with-azure-key-vault/,az-500,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-apps/,Manage secrets in your server apps with Azure Key Vault,7,"3,372","31,836",20.78%,"2,464",512,562,3.0,855.3325,15.219439499999998,46,4.657142857,35.0,"1,903","1,266",azure;azure-key-vault;azure-app-service,developer;solution-architect,beginner
3,https://docs.microsoft.com/en-us/learn/modules/control-authentication-with-apim/,learn.control-authentication-with-apim,Control authentication for your APIs with Azure API Management ,/learn/modules/control-authentication-with-apim/,az-500,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-apps/,Control authentication for your APIs with Azure API Management,7,"3,408","22,539",52.13%,"2,630","1,371","1,371",8.0,813.9830556,14.3306876,55,4.704225352,71.0,"1,107","1,012",azure;azure-api-management,solution-architect;developer;security-engineer,intermediate
4,https://docs.microsoft.com/en-us/learn/modules/azure-well-architected-security/,learn.azure-well-architected-security,Microsoft Azure Well-Architected Framework - Security ,/learn/modules/azure-well-architected-security/,az-500,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-apps/,Microsoft Azure Well-Architected Framework - Security,8,"8,058","53,228",26.80%,"7,380","1,978","1,997",41.0,4458.679443999999,33.19940018,62,4.8085106380000004,235.0,,,azure;azure-active-directory,solution-architect;security-engineer,intermediate
5,https://docs.microsoft.com/en-us/learn/modules/azure-well-architected-security/,learn.azure-well-architected-security,Microsoft Azure Well-Architected Framework - Security ,/learn/modules/azure-well-architected-security/,az-500,https://docs.microsoft.com/en-us/learn/paths/implement-host-security/,Microsoft Azure Well-Architected Framework - Security,8,"8,058","53,228",26.80%,"7,380","1,978","1,997",41.0,4458.679443999999,33.19940018,62,4.8085106380000004,235.0,,,azure;azure-active-directory,solution-architect;security-engineer,intermediate
6,https://docs.microsoft.com/en-us/learn/modules/create-security-baselines/,learn.azure-security.create-security-baselines,Create security baselines ,/learn/modules/create-security-baselines/,az-500,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-apps/,Create security baselines,11,"2,553","22,119",59.41%,"2,136","1,269","1,329",5.0,1064.76,25.02373678,60,4.662650602,83.0,,,azure,developer;solution-architect;security-engineer,beginner
7,https://docs.microsoft.com/en-us/learn/modules/create-security-baselines/,learn.azure-security.create-security-baselines,Create security baselines ,/learn/modules/create-security-baselines/,az-500,https://docs.microsoft.com/en-us/learn/paths/manage-security-operations/,Create security baselines,11,"2,553","22,119",59.41%,"2,136","1,269","1,329",5.0,1064.76,25.02373678,60,4.662650602,83.0,,,azure,developer;solution-architect;security-engineer,beginner
8,https://docs.microsoft.com/en-us/learn/modules/create-security-baselines/,learn.azure-security.create-security-baselines,Create security baselines ,/learn/modules/create-security-baselines/,az-500,https://docs.microsoft.com/en-us/learn/paths/implement-host-security/,Create security baselines,11,"2,553","22,119",59.41%,"2,136","1,269","1,329",5.0,1064.76,25.02373678,60,4.662650602,83.0,,,azure,developer;solution-architect;security-engineer,beginner
9,https://docs.microsoft.com/en-us/learn/modules/incident-response-with-alerting-on-azure/,learn.incident-response-with-alerting-on-azure,Improve incident response with alerting on Azure ,/learn/modules/incident-response-with-alerting-on-azure/,az-500,https://docs.microsoft.com/en-us/learn/paths/manage-security-operations/,Improve incident response with alerting on Azure,9,"3,163","27,530",66.15%,"2,558","1,692","1,771",3.0,1167.901944,22.15432079,53,4.638554217,83.0,"1,159",980,azure;azure-monitor,solution-architect;security-engineer;administrator,beginner
