,LearningPathUid_x,LiveUrl,TotalModules,Certification,Title,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid_y,Roles,Products,Levels
0,learn.security.secure-your-cloud-apps,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-apps/,6,az-500,Secure your cloud applications in Azure,6.0,"19,818","207,086",5.36%,"8,156",437,496,2559,31.0575201,"9,920",336.0,learn.security.secure-your-cloud-apps,solution-architect;developer;security-engineer,azure;azure-policy;azure-key-vault;azure-active-directory;azure-api-management,beginner;intermediate;advanced
1,learn.security.manage-security-operations,https://docs.microsoft.com/en-us/learn/paths/manage-security-operations/,8,az-500,Manage security operations in Azure,8.0,"48,979","503,912",41.11%,"2,588","1,064","1,155",2559,26.62859593,"8,162",360.0,learn.security.manage-security-operations,administrator;security-engineer,azure;azure-policy;azure-key-vault;azure-active-directory;azure-api-management,beginner;intermediate
2,learn.security.manage-identity-and-access,https://docs.microsoft.com/en-us/learn/paths/manage-identity-and-access/,9,az-500,Manage identity and access in Azure Active Directory,9.0,"62,677","611,708",12.63%,"11,333","1,431","1,581",2559,25.14746983,"17,052",317.0,learn.security.manage-identity-and-access,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-active-directory,beginner;intermediate
3,learn.security.implement-resource-mgmt-security,https://docs.microsoft.com/en-us/learn/paths/implement-resource-mgmt-security/,6,az-500,Implement resource management security in Azure,6.0,"60,820","847,740",66.16%,"2,982","1,973","2,152",2559,37.19101447,"9,594",207.0,learn.security.implement-resource-mgmt-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-resource-manager;azure-blueprints;azure-policy;azure-rbac,beginner;intermediate
4,learn.security.implement-network-security,https://docs.microsoft.com/en-us/learn/paths/implement-network-security/,5,az-500,Implement network security in Azure,5.0,"29,317","321,316",54.35%,"2,576","1,400","1,516",2559,29.98669202,"8,389",310.0,learn.security.implement-network-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-application-gateway;azure-expressroute;azure-virtual-network;azure-vpn-gateway,beginner;intermediate
5,learn.security.implement-host-security,https://docs.microsoft.com/en-us/learn/paths/implement-host-security/,6,az-500,Implement virtual machine host security in Azure,6.0,"29,312","279,777",58.00%,"1,500",870,968,2559,23.29840282,"5,940",364.0,learn.security.implement-host-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-virtual-machines,beginner;intermediate
6,learn.wwl.manage-governance-compliance-features-microsoft-365,https://docs.microsoft.com/en-us/learn/paths/manage-governance-compliance-features-microsoft-365/,10,ms-500,MS-500 part 4: Manage Governance and Compliance Features in Microsoft 365,10.0,"3,079","25,516",6.00%,100,6,15,2559,19.19564252,21,458.0,learn.wwl.manage-governance-compliance-features-microsoft-365,administrator;security-engineer;technology-manager,office-365,intermediate
7,learn.wwl.implement-manage-threat-protection,https://docs.microsoft.com/en-us/learn/paths/implement-manage-threat-protection/,12,ms-500,MS-500 part 2 - Implement and manage threat protection,12.0,"8,527","66,438",6.43%,171,11,17,2559,22.40448771,28,412.0,learn.wwl.implement-manage-threat-protection,administrator;security-engineer;technology-manager,defender-identity;defender-office365,intermediate
8,learn.wwl.implement-manage-information-protection,https://docs.microsoft.com/en-us/learn/paths/implement-manage-information-protection/,7,ms-500,MS-500 part 3 - Implement and manage information protection,7.0,"1,203","17,765",22.83%,92,21,32,2559,46.26945137,23,341.0,learn.wwl.implement-manage-information-protection,administrator;security-engineer;technology-manager,office-365,intermediate
9,learn.wwl.implement-manage-identity-access,https://docs.microsoft.com/en-us/learn/paths/implement-manage-identity-access/,10,ms-500,MS-500 part 1 - Implement and manage identity and access,10.0,"3,120","44,825",5.37%,354,19,24,2559,46.15050214,44,483.0,learn.wwl.implement-manage-identity-access,administrator;security-engineer;technology-manager,azure-active-directory,intermediate
10,learn.wwl.describe-concepts-of-security-compliance-identity,https://docs.microsoft.com/en-us/learn/paths/describe-concepts-of-security-compliance-identity/,2,sc-900,"Security, Compliance, and Identity Fundamentals (SC-900) - Describe the concepts of security, compliance, and identity",2.0,"12,123","122,635",25.44%,"9,326","2,373","2,624",2559,27.6939234,"2,708",45.0,learn.wwl.describe-concepts-of-security-compliance-identity,business-user;student,azure;m365,beginner
11,learn.wwl.describe-capabilities-of-microsoft-security-solutions,https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-security-solutions/,6,sc-900,"Security, Compliance, and Identity Fundamentals (SC-900) - Describe the capabilities of Microsoft security solutions",6.0,"5,041","107,399",27.35%,"3,729","1,020","1,177",2559,55.59020036,"1,418",136.0,learn.wwl.describe-capabilities-of-microsoft-security-solutions,business-user;student,azure;m365,beginner
12,learn.wwl.describe-capabilities-of-microsoft-identity-access-management-solutions,https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-identity-access/,4,sc-900,"Security, Compliance, and Identity Fundamentals (SC-900) - Describe the capabilities of Microsoft Identity and access management solutions",4.0,"5,457","95,290",32.52%,"4,246","1,381","1,604",2559,48.47232912,"1,432",88.0,learn.wwl.describe-capabilities-of-microsoft-identity-access-management-solutions,business-user;student,azure-active-directory,beginner
